palpation,OHR,face image,ECG
60,63,62,64
69,64,71,70
68,69,67,70
72,69,71,72
75,75,75,75
73,74,74,73
79,78,77,79
72,72,73,73
77,76,77,78
69,69,69,69
76,78,75,77
70,80,74,79
71,75,69,73
80,81,77,79
75,77,74,77
75,73,74,76
77,84,80,82
74,74,73,76
69,72,69,70
71,72,71,71
61,63,62,62
69,69,67,68
60,62,65,63
61,65,65,65
75,76,74,75
67,68,75,67
65,67,65,67
61,66,65,65
63,68,62,66
61,69,65,66
78,78,74,79
74,79,76,77
75,74,75,74
82,83,85,83
75,76,71,76
70,78,77,78
73,76,81,74
74,75,75,74
70,79,72,78
75,77,80,77
74,72,71,71
66,68,65,67
65,69,62,67
63,64,62,62
69,72,68,69
65,71,67,66
62,63,62,62
63,75,71,69
64,66,65,66
59,66,61,62
60,62,61,60
58,65,63,64
63,64,62,63
76,76,75,76
66,74,72,73
65,73,70,72
68,73,72,70
67,70,69,70
71,74,79,73
66,72,72,70
73,73,74,74
68,69,66,68
70,75,71,73
63,70,64,69
75,70,69,71
61,69,62,68
69,70,69,70
66,72,64,66
65,71,69,69
67,73,65,69
63,72,78,69
61,63,62,62
65,89,66,67
63,65,60,64
63,64,66,65
64,65,65,64
67,69,62,66
59,64,60,62
71,71,68,70
69,69,69,68
77,78,73,78
73,74,70,74
72,71,72,72
74,75,74,74
70,71,70,71
70,71,70,71
76,78,77,78
75,74,72,75
72,72,70,72
75,78,76,77
74,80,76,78
78,93,78,92
74,74,74,74
73,70,73,73
72,71,74,72
86,94,93,93
92,89,91,90
71,70,69,71
70,70,69,70
74,77,77,77
70,74,69,71
85,85,77,85
66,66,65,67
73,72,72,73
79,83,76,83
74,73,74,74
70,74,68,73
71,71,68,71
67,70,66,69
74,75,73,75
75,76,74,76
70,76,73,76
75,75,74,76
75,76,75,76
67,80,71,75
72,76,69,76
77,78,81,79
66,67,65,66
70,77,70,73
68,68,69,68
73,73,72,73
69,72,70,72
71,75,72,74
67,71,67,71
73,75,75,77
77,74,57,76
74,77,81,78
77,78,78,77
77,78,80,78
68,68,68,69
70,71,69,70
71,69,75,69
68,69,65,68
72,73,72,72
69,67,64,67
65,65,65,65
63,66,69,66
63,64,63,63
67,72,67,70
60,63,62,61
59,58,60,59
53,58,58,58
60,60,60,60
57,59,61,58
58,62,61,60
60,61,60,60
58,60,60,59
61,63,62,62
60,64,62,62
62,62,61,62
65,65,62,65
67,68,69,67
66,69,63,67
69,70,69,68
63,63,61,63
61,68,70,69
57,68,70,67
67,69,66,69
61,64,62,63
67,71,68,70
72,74,72,72
77,77,80,76
73,74,73,73
61,66,61,62
74,79,77,77
70,78,80,77
61,66,63,63
75,76,73,76
61,63,64,63
73,76,72,75
74,74,76,75
86,91,95,91
80,84,77,83
79,85,77,83
73,77,75,75
73,77,74,75
77,78,74,78
74,75,72,74
76,78,75,81
66,66,65,67
66,66,65,66
79,79,80,79
73,74,77,74
72,74,72,73
71,74,74,72
73,74,77,77
75,73,73,72
72,76,73,75
71,76,74,76
71,74,71,73
71,73,72,72
74,76,78,76
74,76,73,75
73,76,74,72
64,68,62,65
62,63,64,62
70,70,71,70
62,60,61,64
63,68,64,67
62,66,64,67
59,61,60,61
66,63,64,65
61,61,62,66
58,64,62,63
59,69,64,67
64,67,65,67
72,78,70,72
71,74,68,73
66,71,69,66
65,66,65,69
63,65,64,65
64,66,65,66
64,67,63,64
62,64,63,65
67,66,64,66
65,65,66,66
64,66,66,66
50,55,58,51
50,53,57,52
52,58,57,54
54,58,56,55
53,56,55,54
55,59,56,56
55,60,56,58
56,59,55,57
58,57,57,58
60,63,62,61
66,71,66,66
70,78,69,70
65,65,65,64
64,65,63,65
71,74,73,70
75,81,75,74
65,70,66,68
64,67,61,65
66,68,70,68
64,63,64,64
63,65,63,64
65,64,63,63
60,63,64,63
68,71,74,74
75,74,71,75
66,68,64,66
70,70,71,73
67,71,72,71
60,60,60,61
63,62,63,62
67,69,65,66
66,74,66,68
63,65,61,64
65,66,63,64
63,63,63,62
67,65,67,65
80,79,83,80
79,79,77,79
79,79,78,79
81,85,82,81
80,83,84,80
80,81,79,82
73,77,75,73
73,81,76,75
69,71,71,70
73,77,74,73
72,76,72,71
72,77,71,75
72,72,69,72
69,71,70,72
70,70,71,70
71,72,73,72
67,72,68,69
68,68,68,68
69,67,68,68
66,65,65,64
73,76,72,73
70,76,69,71
73,76,72,74
72,76,72,73
78,77,76,78
75,77,75,76
72,70,72,72
73,73,73,73
81,83,80,82
77,82,79,81
77,79,78,77
79,82,80,79
70,71,71,69
70,73,69,70
72,73,70,73
90,88,95,90
89,90,88,89
80,83,83,80
84,84,83,84
80,88,79,82
80,86,84,85
81,82,80,81
82,79,79,82
72,73,74,72
71,71,71,71
75,76,74,75
72,76,77,76